,price
1,1
2,1.007134074
3,1.006193676
4,0.986844198
5,0.990560337
6,0.996608462
7,0.982414623
8,0.980211766
9,0.987888718
10,0.976194679
11,0.977791095
12,0.981322465
13,0.977786707
14,0.986508143
15,0.991435155
16,0.981793938
17,0.984069895
18,0.961951306
19,0.958537067
20,0.944719355
21,0.946074565
22,0.945832511
23,0.944116989
24,0.943400864
25,0.929534415
26,0.938625188
27,0.958446112
28,0.958606019
29,0.962282415
30,0.950821515
31,0.944193912
32,0.942614513
33,0.931329486
34,0.9411117
35,0.936792555
36,0.943728492
37,0.95431085
38,0.957675141
39,0.969261329
40,0.977465084
41,0.990565276
42,1.005830245
43,1.014685459
44,1.001484287
45,0.998561979
46,0.996334283
47,1.009314408
48,1.008102223
49,0.996110097
50,0.986216853
51,0.977073903
52,0.983751752
53,0.967735391
54,0.972258107
55,0.964006981
56,0.960447866
57,0.956224065
58,0.94559169
59,0.945352713
60,0.957379883
61,0.960329288
62,0.95837439
63,0.963592018
64,0.96982458
65,0.968963876
66,0.971324974
67,0.978774597
68,0.970878429
69,0.979739465
70,0.982288316
71,0.984183694
72,0.967457943
73,0.964798379
74,0.969760658
75,0.971487627
76,0.972699519
77,0.986665621
78,0.969838067
79,0.969589354
80,0.968455824
81,0.967857025
82,0.953272613
83,0.953540169
84,0.954077042
85,0.951514678
86,0.942661401
87,0.956166356
88,0.951460367
89,0.95482633
90,0.947291525
91,0.937828047
92,0.941116906
93,0.948677879
94,0.94525484
95,0.945853927
96,0.96615838
97,0.952636092
98,0.954757543
99,0.957677442
100,0.93582621
101,0.933152303
102,0.932921799
103,0.946599328
104,0.943144246
105,0.94171038
106,0.928224145
107,0.934035472
108,0.944330351
109,0.947531458
110,0.945597988
111,0.947949921
112,0.92861472
113,0.920806394
114,0.912532473
115,0.921447509
116,0.922012267
117,0.93687626
118,0.933899813
119,0.926764495
120,0.918461969
121,0.915006939
122,0.908763513
123,0.920091225
124,0.925647616
125,0.929033797
126,0.930959017
127,0.933661025
128,0.936934791
129,0.941532122
130,0.939159062
131,0.940550186
132,0.939210655
133,0.927935276
134,0.932783536
135,0.916616287
136,0.915555803
137,0.893832768
138,0.901227442
139,0.901819249
140,0.887513316
141,0.892713603
142,0.886749768
143,0.874668797
144,0.85332999
145,0.854615259
146,0.874356336
147,0.873609631
148,0.8707522
149,0.885623209
150,0.875833369
151,0.851447281
152,0.867825122
153,0.889857302
154,0.88580566
155,0.882480544
156,0.884802652
157,0.895453129
158,0.88341548
159,0.901028684
160,0.914430152
161,0.912261948
162,0.920668331
163,0.927005369
164,0.927250974
165,0.929344353
166,0.93823201
167,0.920850745
168,0.918129746
169,0.910033811
170,0.919503862
171,0.935122301
172,0.933806715
173,0.925986665
174,0.938223512
175,0.944575577
176,0.943151248
177,0.943811681
178,0.956070349
179,0.947388816
180,0.935886297
181,0.944263226
182,0.936819313
183,0.927613435
184,0.925207081
185,0.906972608
186,0.92141497
187,0.936035305
188,0.922918793
189,0.939581086
190,0.95114404
191,0.956319242
192,0.986340645
193,0.993085191
194,0.999725249
195,1.003465339
196,0.990007769
197,0.999738515
198,0.997629749
199,1.000706641
200,1.011061233
201,1.0208909
202,1.02983903
203,1.029990177
204,1.021364927
205,1.015263781
206,1.030761323
207,1.029892891
208,1.032721057
209,1.039354381
210,1.052679526
211,1.062474819
212,1.075285831
213,1.07408628
214,1.070169823
215,1.076988907
216,1.059074552
